tweet_id;text;task1;task2;ID
1.12376E+18;hate wen females hit ah nigga with tht bro 😂😂, I’m tryna make u my la sweety , fuck ah bro;HOF;PRFN;hasoc_2020_en_2574
1.12373E+18;RT @airjunebug: When you're from the Bay but you're really a NY nigga at heart. W/ @supportcaleon https://t.co/mZ8BAYlnlf;HOF;PRFN;hasoc_2020_en_3627
1.12373E+18;RT @DonaldJTrumpJr: Dear Democrats: The American people aren’t stupid, they know what spying is and no amount of gaslighting will change th…;NOT;NONE;hasoc_2020_en_3108
1.12695E+18;RT @SheLoveTimothy: He ain’t on drugs he just bored. I be doing the same shit when I’m bored 😂 https://t.co/tkdjSbddET;HOF;PRFN;hasoc_2020_en_3986
1.12686E+18;RT @TavianJordan: Summer ‘19 I’m coming for you ! No boring shit ! Beach days, road trips, kickbacks and HOT DAYS ! I’m ready I’m ready I’m…;NOT;NONE;hasoc_2020_en_5152
1.12363E+18;@HermesCxbin turn that shit off;HOF;PRFN;hasoc_2020_en_4256
1.13018E+18;RT @spaceboykenny: i know fuck bout cel shading so have some horny instead https://t.co/ciPIEN8ZJa;HOF;PRFN;hasoc_2020_en_3821
1.13023E+18;Polo Ts the only other ones but that’s if you feeeling fly fly like bitch don’t touch me.;HOF;PRFN;hasoc_2020_en_5320
1.12368E+18;I fucking love life !!!;HOF;PRFN;hasoc_2020_en_2265
1.13031E+18;@Nig_BMT ‘In the newspaper ‘ I weak😂😂😂. Bro this ending has pissed me off😭;NOT;NONE;hasoc_2020_en_517
1.1238E+18;"Nobody:
Angie: U getting dick ? Cus ur ass looks bigger";HOF;OFFN;hasoc_2020_en_2451
1.12683E+18;RT @tedlieu: Oh look, @realDonaldTrump is now sending Rudy Giuliani to actively seek the assistance of a foreign government to help Trump i…;NOT;NONE;hasoc_2020_en_5234
1.12359E+18;RT @tikkkii: bitches in real life be bird as fuck and only good for sex, I’m sick;HOF;OFFN;hasoc_2020_en_1111
1.12682E+18;@thekoyostore @Rainbow6Game hnnnng I need;NOT;NONE;hasoc_2020_en_2645
1.12364E+18;It was obvious from the very beginning he always regarded himself as a maverick, which the PM’s letter also suggest… https://t.co/RIVYzNePq1;NOT;NONE;hasoc_2020_en_2767
1.13018E+18;Get surgical with that shit 💉 https://t.co/5u8Di1waFC;HOF;PRFN;hasoc_2020_en_3128
1.12684E+18;I really don’t want to start my weekend off this way - yet here I am. This vile post should be labeled a lie-… https://t.co/RFYSuDDb1b;NOT;NONE;hasoc_2020_en_723
1.12369E+18;SUCH A FUCKING BEAST HONESTLY👀🐐🐐🐐;HOF;PRFN;hasoc_2020_en_2809
1.12378E+18;@StrangeMentle DELTARUNES TRACKS IS FUCKING BANGERS ALL OF EM;HOF;PRFN;hasoc_2020_en_1770
1.12362E+18;RT @NataliaNoyes: might fuck around and go missing for a few months;HOF;PRFN;hasoc_2020_en_1246
1.12368E+18;RT @realmenswallow1: HHHOOTTTTT 25 min #raw 6-way fuck fest w Atlas Grant, Avatar Akyia, Ryan Powers & TheKnights 🐷🐷! See this and more @…;HOF;PRFN;hasoc_2020_en_999
